,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,std,turbo
14,0,122.0,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,41315,6.808510638297872,9.361702127659575,medium,False,True,True,False
15,0,122.0,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15,20,36880,6.382978723404255,8.51063829787234,medium,False,True,True,False
16,2,121.0,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151,20.0,22.5531914893617,low,False,True,True,False
17,1,98.0,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295,16.170212765957448,18.29787234042553,low,False,True,True,False
18,0,81.0,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575,16.170212765957448,18.29787234042553,low,False,True,True,False
19,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572,15.74468085106383,17.4468085106383,low,False,True,True,False
20,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377,13.191489361702127,16.170212765957448,low,False,True,True,False
21,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957,10.212765957446807,12.76595744680851,low,False,True,False,True
22,1,148.0,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229,13.191489361702127,16.170212765957448,low,False,True,True,False
23,1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692,13.191489361702127,16.170212765957448,low,False,True,True,False
24,1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609,13.191489361702127,16.170212765957448,low,False,True,True,False
25,1,148.0,dodge,,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558,10.212765957446807,12.76595744680851,low,False,True,False,True
26,-1,110.0,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921,10.212765957446807,12.76595744680851,low,False,True,True,False
27,3,145.0,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964,8.085106382978724,10.212765957446807,medium,False,True,False,True
28,2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479,20.851063829787233,22.97872340425532,low,False,True,True,False
29,2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855,13.191489361702127,16.170212765957448,low,False,True,True,False
30,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399,16.170212765957448,17.872340425531913,low,False,True,True,False
31,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529,12.76595744680851,14.468085106382977,low,False,True,True,False
32,1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129,12.76595744680851,14.468085106382977,low,False,True,True,False
33,0,110.0,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295,12.76595744680851,14.468085106382977,low,False,True,True,False
34,0,78.0,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295,12.76595744680851,14.468085106382977,low,False,True,True,False
35,0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895,11.48936170212766,14.042553191489361,low,False,True,True,False
36,0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095,11.48936170212766,14.042553191489361,low,False,True,True,False
37,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845,11.48936170212766,14.042553191489361,low,False,True,True,False
38,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295,11.48936170212766,14.042553191489361,low,False,True,True,False
39,0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945,10.212765957446807,11.914893617021276,low,False,True,True,False
40,1,107.0,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345,10.638297872340425,13.191489361702127,low,False,True,True,False
41,0,122.0,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,24,29,6785,10.212765957446807,12.340425531914892,low,False,True,True,False
42,2,122.0,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,24,29,11048,10.212765957446807,12.340425531914892,low,False,True,True,False
43,0,145.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250,6.382978723404255,8.085106382978724,medium,False,True,True,False
44,0,122.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15,19,35550,6.382978723404255,8.085106382978724,medium,False,True,True,False
45,0,122.0,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,13,17,36000,5.531914893617021,7.234042553191489,high,False,True,True,False
46,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195,12.76595744680851,13.191489361702127,low,False,True,True,False
47,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095,13.191489361702127,16.170212765957448,low,False,True,True,False
48,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795,13.191489361702127,16.170212765957448,low,False,True,True,False
49,1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695,13.191489361702127,16.170212765957448,low,False,True,True,False
50,1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395,13.191489361702127,16.170212765957448,low,False,True,True,False
51,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101,6000.0,17,23,10945,7.234042553191489,9.787234042553191,low,False,True,True,False
52,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101,6000.0,17,23,11845,7.234042553191489,9.787234042553191,low,False,True,True,False
53,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101,6000.0,17,23,13645,7.234042553191489,9.787234042553191,low,False,True,True,False
54,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.3300000000000005,3.2598469387755107,9.4,135,6000.0,16,23,15645,6.808510638297872,9.787234042553191,medium,False,True,True,False
55,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845,11.063829787234042,13.617021276595745,low,False,True,True,False
56,0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495,11.063829787234042,13.617021276595745,low,False,True,True,False
57,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595,11.063829787234042,13.617021276595745,low,False,True,True,False
58,0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245,11.063829787234042,13.617021276595745,low,False,True,True,False
59,0,122.0,mazda,,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,36,42,10795,15.319148936170212,17.872340425531913,low,True,False,True,False
60,0,115.0,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245,11.063829787234042,13.617021276595745,low,False,True,True,False
61,0,118.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280,8.085106382978724,11.48936170212766,medium,False,True,True,False
62,0,122.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,31,39,18344,13.191489361702127,16.595744680851062,low,True,False,True,False
63,-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,25552,9.361702127659575,10.638297872340425,medium,True,False,False,True
64,-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28248,9.361702127659575,10.638297872340425,medium,True,False,False,True
65,0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,28176,9.361702127659575,10.638297872340425,medium,True,False,False,True
66,-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,22,25,31600,9.361702127659575,10.638297872340425,medium,True,False,False,True
67,-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,34184,6.808510638297872,7.659574468085106,medium,False,True,True,False
68,3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,16,18,35056,6.808510638297872,7.659574468085106,medium,False,True,True,False
69,0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,14,16,40960,5.957446808510638,6.808510638297872,medium,False,True,True,False
70,1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,1.0,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,14,16,45400,5.957446808510638,6.808510638297872,medium,False,True,True,False
71,1,122.0,mercury,two,hatchback,rwd,front,102.7,0.8969331322272499,0.9869375907111755,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,19,24,16503,8.085106382978724,10.212765957446807,medium,False,True,False,True
72,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7908496732026145,0.9346879535558781,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389,15.74468085106383,17.4468085106383,low,False,True,True,False
73,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7908496732026145,0.9346879535558781,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189,13.191489361702127,16.170212765957448,low,False,True,True,False
74,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7908496732026145,0.9346879535558781,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669,13.191489361702127,16.170212765957448,low,False,True,True,False
75,1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,0.7908496732026145,0.9259796806966617,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689,10.212765957446807,12.76595744680851,low,False,True,False,True
76,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8697838109602816,0.9492017416545718,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959,9.787234042553191,12.76595744680851,low,False,True,False,True
77,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8697838109602816,0.9492017416545718,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499,10.638297872340425,13.617021276595745,low,False,True,True,False
78,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8707893413775766,0.9622641509433961,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,19,24,12629,8.085106382978724,10.212765957446807,medium,False,True,False,True
79,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8707893413775766,0.9622641509433961,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,24,14869,8.085106382978724,10.212765957446807,medium,False,True,False,True
80,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,0.8707893413775766,0.9622641509433961,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,19,24,14489,8.085106382978724,10.212765957446807,medium,False,True,False,True
81,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8667672197083962,0.9492017416545718,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989,10.638297872340425,13.617021276595745,low,False,True,True,False
82,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8667672197083962,0.9492017416545718,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189,10.638297872340425,13.617021276595745,low,False,True,True,False
83,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8667672197083962,0.9492017416545718,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279,9.787234042553191,12.76595744680851,low,False,True,False,True
84,-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,0.8667672197083962,0.9492017416545718,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279,9.787234042553191,12.76595744680851,low,False,True,True,False
85,1,128.0,nissan,two,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499,13.191489361702127,15.74468085106383,low,False,True,True,False
86,1,128.0,nissan,two,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,45,50,7099,19.148936170212764,21.27659574468085,low,True,False,True,False
87,1,128.0,nissan,two,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649,13.191489361702127,15.74468085106383,low,False,True,True,False
88,1,122.0,nissan,four,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849,13.191489361702127,15.74468085106383,low,False,True,True,False
89,1,103.0,nissan,four,wagon,fwd,front,94.5,0.8557063851181498,0.9259796806966617,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349,13.191489361702127,15.74468085106383,low,False,True,True,False
90,1,128.0,nissan,two,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7299,13.191489361702127,15.74468085106383,low,False,True,True,False
91,1,128.0,nissan,two,hatchback,fwd,front,94.5,0.8325791855203619,0.9259796806966617,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7799,13.191489361702127,15.74468085106383,low,False,True,True,False
92,1,122.0,nissan,four,sedan,fwd,front,94.5,0.8310708898944194,0.9259796806966617,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7499,13.191489361702127,15.74468085106383,low,False,True,True,False
93,1,103.0,nissan,four,wagon,fwd,front,94.5,0.8557063851181498,0.9259796806966617,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7999,13.191489361702127,15.74468085106383,low,False,True,True,False
94,2,168.0,nissan,two,hardtop,fwd,front,95.1,0.81649069884364,0.9259796806966617,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,31,37,8249,13.191489361702127,15.74468085106383,low,False,True,True,False
95,0,106.0,nissan,four,hatchback,fwd,front,97.2,0.8717948717948718,0.946298984034833,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,8949,11.48936170212766,14.468085106382977,low,False,True,True,False
96,0,106.0,nissan,four,sedan,fwd,front,97.2,0.8717948717948718,0.946298984034833,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,27,34,9549,11.48936170212766,14.468085106382977,low,False,True,True,False
97,0,128.0,nissan,four,sedan,fwd,front,100.4,0.9135243841126193,0.9651669085631349,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,13499,7.234042553191489,9.361702127659575,medium,False,True,True,False
98,0,108.0,nissan,four,wagon,fwd,front,100.4,0.9281045751633986,0.9651669085631349,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,17,22,14399,7.234042553191489,9.361702127659575,medium,False,True,True,False
99,0,108.0,nissan,four,sedan,fwd,front,100.4,0.9281045751633986,0.9651669085631349,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,19,25,13499,8.085106382978724,10.638297872340425,medium,False,True,True,False
100,3,194.0,nissan,two,hatchback,rwd,front,91.3,0.8582202111613876,0.9854862119013063,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,17199,8.085106382978724,10.638297872340425,medium,False,True,True,False
101,3,194.0,nissan,two,hatchback,rwd,front,91.3,0.8582202111613876,0.9854862119013063,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,17,23,19699,7.234042553191489,9.787234042553191,high,False,True,False,True
102,1,231.0,nissan,two,hatchback,rwd,front,99.2,0.8974358974358974,0.9854862119013063,0.831103678929766,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,19,25,18399,8.085106382978724,10.638297872340425,medium,False,True,True,False
103,0,161.0,peugot,four,sedan,rwd,front,107.9,0.9386626445449974,0.9927431059506531,0.948160535117057,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,11900,8.085106382978724,10.212765957446807,low,False,True,True,False
104,0,161.0,peugot,four,sedan,rwd,front,107.9,0.9386626445449974,0.9927431059506531,0.948160535117057,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,13200,11.914893617021276,14.042553191489361,low,True,False,False,True
105,0,122.0,peugot,four,wagon,rwd,front,114.2,1.0,0.9927431059506531,0.9816053511705687,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,19,24,12440,8.085106382978724,10.212765957446807,low,False,True,True,False
106,0,122.0,peugot,four,wagon,rwd,front,114.2,1.0,0.9927431059506531,0.9816053511705687,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,25,25,13860,10.638297872340425,10.638297872340425,low,True,False,False,True
107,0,161.0,peugot,four,sedan,rwd,front,107.9,0.9386626445449974,0.9927431059506531,0.948160535117057,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,24,15580,8.085106382978724,10.212765957446807,low,False,True,True,False
108,0,161.0,peugot,four,sedan,rwd,front,107.9,0.9386626445449974,0.9927431059506531,0.948160535117057,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,28,33,16900,11.914893617021276,14.042553191489361,low,True,False,False,True
109,0,122.0,peugot,four,wagon,rwd,front,114.2,1.0,0.9927431059506531,0.948160535117057,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,19,24,16695,8.085106382978724,10.212765957446807,low,False,True,True,False
